CNN,step,loss
cnn-01,1,4.583539963
cnn-01,2,2.831654549
cnn-01,3,1.996864676
cnn-01,11,0.605045915
cnn-01,20,0.632244408
cnn-01,24,0.573104143
cnn-01,32,0.467901766
cnn-01,33,0.479308993
cnn-01,37,0.418592513
cnn-01,49,0.98879832
cnn-02,1,7.187447548
cnn-02,2,3.875082493
cnn-02,3,1.513903737
cnn-02,11,0.488115162
cnn-02,20,0.477596939
cnn-02,24,0.490224272
cnn-02,32,0.380196154
cnn-02,33,0.382624477
cnn-02,37,0.668968976
cnn-02,49,0.332942396
cnn-03,1,17.94451523
cnn-03,2,7.995983601
cnn-03,3,5.225122452
cnn-03,11,0.439475924
cnn-03,20,0.495000571
cnn-03,24,0.498739034
cnn-03,32,0.606443942
cnn-03,33,0.438996941
cnn-03,37,0.844819784
cnn-03,49,0.330496401
cnn-04,1,4.427130222
cnn-04,2,2.803585768
cnn-04,3,2.152065754
cnn-04,11,0.378318101
cnn-04,20,0.42612958
cnn-04,24,1.434923172
cnn-04,32,1.063315988
cnn-04,33,0.395213515
cnn-04,37,0.404036134
cnn-04,49,0.853908002
cnn-05,1,9.665060997
cnn-05,2,5.353051662
cnn-05,3,2.602564573
cnn-05,11,0.707718849
cnn-05,20,1.036958814
cnn-05,24,0.925631464
cnn-05,32,0.698717415
cnn-05,33,0.893153429
cnn-05,37,0.710116327
cnn-05,49,0.678440869
cnn-06,3,5.298669815
cnn-06,20,0.80521065
cnn-06,24,0.672975659
cnn-06,32,0.639034986
cnn-06,37,0.519409955
cnn-06,49,0.692829072
cnn-06,2,6.530988693
cnn-06,3,3.737654686
cnn-06,17,0.652821958
cnn-06,49,0.709531844
cnn-07,1,7.808258057
cnn-07,2,5.312563896
cnn-07,3,3.332820892
cnn-07,11,0.414617836
cnn-07,20,0.453457624
cnn-07,24,0.475718141
cnn-07,32,0.613266051
cnn-07,33,0.611366987
cnn-07,37,0.313793868
cnn-07,49,0.324765503
